conf;p_ha;p_nha;r_ha;r_nha
0.6176176176176176;0.8313875019359259;0.8801517138878845;0.8382433938546187;0.5543878442556904
0.6186186186186187;0.8313363553263614;0.8800152846608165;0.8379395228213237;0.553665799006774
0.6196196196196196;0.8312852087167969;0.8798788554337486;0.8376356517880287;0.5529437537578578
0.6206206206206206;0.8312340621072324;0.8797424262066805;0.8373317807547337;0.5522217085089415
0.6216216216216216;0.8311829154976679;0.8796059969796126;0.8370279097214387;0.5514996632600252
0.6226226226226226;0.8311317688881034;0.8794695677525446;0.8367240386881437;0.5507776180111089
0.6236236236236237;0.8310806222785388;0.8793331385254767;0.8364201676548487;0.5500555727621926
0.6246246246246246;0.8310294756689743;0.8791967092984088;0.8361162966215538;0.5493335275132764
0.6256256256256256;0.8309783290594098;0.8790602800713407;0.8358124255882589;0.5486114822643601
0.6266266266266266;0.8309271824498453;0.8789238508442728;0.8355085545549639;0.5478894370154438
0.6276276276276276;0.8308760358402809;0.8787868125601398;0.8352046835216689;0.5471645002995644
0.6286286286286287;0.8308248892307164;0.8784686280513924;0.8349008124883739;0.5455795812371245
0.6296296296296297;0.8307737426211519;0.878150443542645;0.8345969414550789;0.5439946621746846
0.6306306306306306;0.8307225960115874;0.8778322590338976;0.8342930704217839;0.5424097431122448
0.6316316316316316;0.8306714494020229;0.8775140745251503;0.833989199388489;0.5408248240498049
0.6326326326326326;0.8306203027924584;0.8771958900164029;0.833685328355194;0.5392399049873652
0.6336336336336337;0.8305691561828938;0.8768777055076554;0.833381457321899;0.5376549859249251
0.6346346346346347;0.8305180095733293;0.876559520998908;0.8330775862886041;0.5360700668624853
0.6356356356356356;0.8304668629637648;0.8762413364901607;0.8327737152553091;0.5344851478000455
0.6366366366366366;0.8304157163542004;0.8759231519814132;0.8324698442220141;0.5329002287376057
0.6376376376376376;0.8303645697446359;0.8756049674726659;0.8321659731887191;0.5313153096751658
0.6386386386386387;0.8303134231350714;0.8752867829639185;0.8318621021554241;0.5297303906127258
0.6396396396396397;0.8302622765255069;0.874989019050178;0.8315582311221292;0.5282505042347951
0.6406406406406406;0.8302111299159424;0.8748777516541398;0.8312543600888342;0.5277298567967297
0.6416416416416416;0.8301599833063779;0.8747664842581017;0.8309504890555393;0.5272092093586642
0.6426426426426426;0.8301088366968133;0.8746552168620634;0.8306466180222443;0.5266885619205987
0.6436436436436437;0.8300576900872488;0.8745439494660252;0.8303427469889493;0.5261679144825331
0.6446446446446447;0.8300065434776843;0.874432682069987;0.8300388759556543;0.5256472670444676
0.6456456456456456;0.8344402104649937;0.8743214146739489;0.83;0.5251266196064022
0.6466466466466466;0.8384299162018821;0.8742101472779107;0.83;0.5246059721683367
0.6476476476476476;0.8386342838740432;0.8740988798818725;0.83;0.5240853247302711
0.6486486486486487;0.8388386515462041;0.8739876124858342;0.83;0.5235646772922057
0.6496496496496497;0.8390430192183651;0.8738763450897961;0.83;0.5230440298541401
0.6506506506506506;0.839247386890526;0.8737650776937579;0.83;0.5225233824160747
0.6516516516516516;0.839451754562687;0.8736538102977197;0.83;0.5220027349780092
0.6526526526526526;0.839656122234848;0.8735425429016815;0.83;0.5214820875399437
0.6536536536536537;0.8398604899070089;0.8734312755056434;0.83;0.5209614401018782
0.6546546546546547;0.8400648575791699;0.8733200081096051;0.83;0.5204407926638127
0.6556556556556556;0.8402692252513309;0.8732087407135669;0.83;0.5199201452257471
